company_name,ticker_symbol,market_cap,url
Honeywell International Inc. Common Stock,HON,"128,296,767,829",https://www.nasdaq.com/market-activity/stocks/hon
"Uber Technologies, Inc. Common Stock",UBER,"126,969,852,791",https://www.nasdaq.com/market-activity/stocks/uber
"Applied Materials, Inc. Common Stock",AMAT,"123,572,780,617",https://www.nasdaq.com/market-activity/stocks/amat
American Express Company Common Stock,AXP,"122,742,617,534",https://www.nasdaq.com/market-activity/stocks/axp
"NextEra Energy, Inc. Common Stock",NEE,"122,486,952,138",https://www.nasdaq.com/market-activity/stocks/nee
AT&T Inc.,T,"120,978,340,397",https://www.nasdaq.com/market-activity/stocks/t
"Lowe's Companies, Inc. Common Stock",LOW,"119,525,651,658",https://www.nasdaq.com/market-activity/stocks/low
Unilever PLC Common Stock,UL,"119,336,750,000",https://www.nasdaq.com/market-activity/stocks/ul
HDFC Bank Limited Common Stock,HDB,"119,303,071,552",https://www.nasdaq.com/market-activity/stocks/hdb
RTX Corporation Common Stock,RTX,"116,930,132,415",https://www.nasdaq.com/market-activity/stocks/rtx
Sanofi ADS,SNY,"116,803,822,212",https://www.nasdaq.com/market-activity/stocks/sny
Charles Schwab Corporation (The) Common Stock,SCHW,"116,772,402,931",https://www.nasdaq.com/market-activity/stocks/schw
"Goldman Sachs Group, Inc. (The) Common Stock",GS,"114,410,035,745",https://www.nasdaq.com/market-activity/stocks/gs
Booking Holdings Inc. Common Stock,BKNG,"114,264,334,075",https://www.nasdaq.com/market-activity/stocks/bkng
Barclays PLC Common Stock,BCS,"114,181,040,000",https://www.nasdaq.com/market-activity/stocks/bcs
Rio Tinto Plc Common Stock,RIO,"114,170,801,744",https://www.nasdaq.com/market-activity/stocks/rio
Sony Group Corporation American Depositary Shares,SONY,"112,614,622,600",https://www.nasdaq.com/market-activity/stocks/sony
"Elevance Health, Inc. Common Stock",ELV,"112,303,417,756",https://www.nasdaq.com/market-activity/stocks/elv
"Mitsubishi UFJ Financial Group, Inc. Common Stock",MUFG,"111,398,101,878",https://www.nasdaq.com/market-activity/stocks/mufg
Lockheed Martin Corporation Common Stock,LMT,"111,153,186,294",https://www.nasdaq.com/market-activity/stocks/lmt
"BlackRock, Inc. Common Stock",BLK,"110,787,875,028",https://www.nasdaq.com/market-activity/stocks/blk
"Prologis, Inc. Common Stock",PLD,"110,737,924,350",https://www.nasdaq.com/market-activity/stocks/pld
Stryker Corporation Common Stock,SYK,"109,827,543,315",https://www.nasdaq.com/market-activity/stocks/syk
Starbucks Corporation Common Stock,SBUX,"109,816,587,000",https://www.nasdaq.com/market-activity/stocks/sbux
Anheuser-Busch Inbev SA Sponsored ADR (Belgium),BUD,"109,477,794,655",https://www.nasdaq.com/market-activity/stocks/bud
"Intuitive Surgical, Inc. Common Stock",ISRG,"109,290,063,589",https://www.nasdaq.com/market-activity/stocks/isrg
Toronto Dominion Bank (The) Common Stock,TD,"106,761,534,000",https://www.nasdaq.com/market-activity/stocks/td
Medtronic plc. Ordinary Shares,MDT,"105,508,069,578",https://www.nasdaq.com/market-activity/stocks/mdt
Deere & Company Common Stock,DE,"104,737,169,838",https://www.nasdaq.com/market-activity/stocks/de
