ticker_symbol,total_revenue,gross_profit,net_income,total_assets,total_liabilities,year
ADBE,"$15,785,000","$13,920,000","$4,822,000","$27,241,000","$12,444,000",2021
ADBE,"$12,868,000","$11,146,000","$5,260,000","$24,284,000","$11,020,000",2020
ADBE,"$11,171,000","$9,498,000","$2,951,000","$20,762,000","$10,232,000",2019
ASML,"$22,597,500","$11,419,800","$6,002,500","$38,741,900","$29,338,500",2022
ASML,"$21,164,500","$11,154,800","$6,690,400","$34,378,800","$22,846,900",2021
ASML,"$17,103,500","$8,316,800","$4,348,200","$33,363,200","$16,398,100",2020
ASML,"$13,268,100","$5,926,600","$2,909,900","$25,402,000","$11,267,100",2019
CVX,"$235,717,000","$65,587,000","$35,465,000","$257,709,000","$98,427,000",2022
CVX,"$155,606,000","$42,631,000","$15,625,000","$239,535,000","$100,468,000",2021
CVX,"$94,471,000","$22,000,000","-$5,543,000","$239,790,000","$108,102,000",2020
CVX,"$139,865,000","$38,367,000","$2,924,000","$237,428,000","$93,215,000",2019
COST,"$242,290,000","$29,704,000","$6,292,000","$68,994,000","$43,936,000",2023
COST,"$226,954,000","$27,572,000","$5,844,000","$64,166,000","$43,524,000",2022
COST,"$203,084,000","$25,906,000","$5,165,000","$64,149,000","$45,686,000",2021
COST,"$203,084,000","$25,906,000","$5,165,000","$59,268,000","$41,704,000",2021
COST,"$195,929,000","$25,245,000","$5,007,000","$64,149,000","$45,686,000",2021
COST,"$195,929,000","$25,245,000","$5,007,000","$59,268,000","$41,704,000",2021
ABBV,"$58,054,000","$40,640,000","$11,836,000","$138,805,000","$121,551,000",2022
ABBV,"$56,197,000","$38,751,000","$11,542,000","$146,529,000","$131,121,000",2021
ABBV,"$45,804,000","$30,417,000","$4,616,000","$150,565,000","$137,489,000",2020
ABBV,"$33,266,000","$25,827,000","$7,882,000","$89,115,000","$97,287,000",2019
MRK,"$59,283,000","$41,872,000","$14,519,000","$109,160,000","$63,169,000",2022
MRK,"$48,704,000","$35,078,000","$13,049,000","$105,694,000","$67,510,000",2021
MRK,"$41,518,000","$27,900,000","$7,067,000","$91,588,000","$66,271,000",2020
MRK,"$39,121,000","$27,105,000","$9,843,000","$84,397,000","$58,490,000",2019
TM,"$279,167,000","$47,434,000","$18,731,000","$558,293,000","$345,364,000",2023
TM,"$258,534,000","$49,200,000","$23,684,000","$557,683,000","$341,444,000",2022
TM,"$246,286,000","$43,732,000","$20,655,000","$563,504,000","$351,698,000",2021
TM,"$276,657,000","$49,847,000","$19,556,000","$499,952,000","$308,958,000",2020
KO,"$43,004,000","$25,004,000","$9,542,000","$92,763,000","$68,658,000",2022
KO,"$38,655,000","$23,298,000","$9,771,000","$94,354,000","$71,355,000",2021
KO,"$33,014,000","$19,581,000","$7,747,000","$87,296,000","$67,997,000",2020
KO,"$37,266,000","$22,647,000","$8,920,000","$86,381,000","$67,400,000",2019
NGG,"$26,781,000","$26,781,000","$9,641,000","$114,616,000","$78,094,000",2023
NGG,"$24,291,000","$24,291,000","$3,099,000","$124,898,000","$93,518,000",2022
NGG,"$18,854,000","$18,854,000","$2,264,000","$92,739,000","$65,367,000",2021
NGG,"$16,566,000","$16,566,000","$1,569,000","$83,771,000","$59,256,000",2020
BAC,"$115,053,000",--,"$27,528,000","$3,051,375,000","$2,778,178,000",2022
BAC,"$93,851,000",--,"$31,978,000","$3,169,495,000","$2,899,429,000",2021
BAC,"$93,753,000",--,"$17,894,000","$2,819,627,000","$2,546,703,000",2020
BAC,"$113,589,000",--,"$27,430,000","$2,434,079,000","$2,169,269,000",2019
CRM,"$31,352,000","$22,992,000","$208,000","$98,849,000","$40,490,000",2023
CRM,"$26,492,000","$19,466,000","$1,444,000","$95,209,000","$37,078,000",2022
CRM,"$21,252,000","$15,814,000","$4,072,000","$66,301,000","$24,808,000",2021
CRM,"$17,098,000","$12,863,000","$126,000","$55,126,000","$21,241,000",2020
PEP,"$86,392,000","$45,816,000","$8,910,000","$92,187,000","$75,038,000",2022
PEP,"$79,474,000","$42,399,000","$7,618,000","$92,377,000","$76,334,000",2021
PEP,"$70,372,000","$38,575,000","$7,120,000","$92,918,000","$79,464,000",2020
PEP,"$67,161,000","$37,029,000","$7,314,000","$78,547,000","$63,761,000",2019
ACN,"$64,111,745","$20,731,607","$6,871,557","$51,245,305","$24,786,712",2023
ACN,"$61,594,305","$19,701,539","$6,877,169","$47,263,390","$24,516,302",2022
ACN,"$50,533,389","$16,364,128","$5,906,809","$43,175,843","$23,078,729",2021
ACN,"$44,327,039","$13,976,158","$5,107,839","$37,078,593","$19,579,420",2020
AMD,"$23,601,000","$10,603,000","$1,320,000","$67,580,000","$12,830,000",2022
AMD,"$16,434,000","$7,929,000","$3,162,000","$12,419,000","$4,922,000",2021
AMD,"$9,763,000","$4,347,000","$2,490,000","$8,962,000","$3,125,000",2020
AMD,"$6,731,000","$2,868,000","$341,000","$6,028,000","$3,201,000",2019
MCD,"$23,182,600","$13,207,200","$6,177,400","$50,435,600","$56,439,000",2022
MCD,"$23,222,900","$12,580,200","$7,545,200","$53,854,300","$58,455,300",2021
MCD,"$19,207,800","$9,752,100","$4,730,500","$52,626,800","$60,451,700",2020
MCD,"$21,364,400","$11,179,400","$6,025,400","$47,510,800","$55,721,100",2019
NVS,"$51,828,000","$36,342,000","$6,955,000","$117,453,000","$58,111,000",2022
NVS,"$52,877,000","$37,010,000","$24,018,000","$131,795,000","$64,140,000",2021
NVS,"$49,898,000","$34,777,000","$8,071,000","$127,778,000","$71,180,000",2020
NVS,"$48,677,000","$34,252,000","$11,737,000","$118,370,000","$62,896,000",2019
NFLX,"$31,615,550","$12,447,265","$4,491,924","$48,594,768","$27,817,367",2022
NFLX,"$29,697,844","$12,365,161","$5,116,228","$44,584,663","$28,735,415",2021
NFLX,"$24,996,056","$9,719,737","$2,761,395","$39,280,359","$28,215,119",2020
NFLX,"$20,156,447","$7,716,234","$1,866,916","$33,975,712","$26,393,555",2019
SAP,"$32,947,000","$23,410,000","$1,823,000","$77,012,000","$34,123,000",2022
SAP,"$31,662,000","$22,627,000","$6,114,000","$80,939,000","$36,755,000",2021
SAP,"$33,450,000","$23,802,000","$6,464,000","$71,534,000","$35,175,000",2020
SAP,"$30,929,000","$21,551,000","$3,783,000","$67,589,000","$33,076,000",2019
